library_number,id,title_en,category_label,priority,trigger_kind,automation_pattern,uses_ai,human_in_the_loop,complexity,ru_smb_fit,existing_70_collision_check
127,support_cx.skill_based_ticket_routing,Skill-based ticket routing,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
128,support_cx.priority_customer_routing,Priority customer routing,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,S,high,required_against_authoritative_manifest
129,support_cx.support_sla_monitoring,Support SLA monitoring,Support & CX,P1,schedule,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,L,high,required_against_authoritative_manifest
130,support_cx.sla_breach_escalation,SLA breach escalation,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,True,M,high,required_against_authoritative_manifest
131,support_cx.incident_swarm_activation,Incident swarm activation,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,S,high,required_against_authoritative_manifest
132,support_cx.customer_status_notification,Customer status notification,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
133,support_cx.resolution_approval_for_sensitive_cases,Resolution approval for sensitive cases,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,True,M,high,required_against_authoritative_manifest
134,support_cx.ticket_closure_validation,Ticket closure validation,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,L,high,required_against_authoritative_manifest
135,support_cx.customer_satisfaction_survey,Customer satisfaction survey,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
136,support_cx.negative_feedback_recovery,Negative feedback recovery,Support & CX,P1,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
137,support_cx.complaint_registration,Complaint registration,Support & CX,P2,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,S,high,required_against_authoritative_manifest
138,support_cx.complaint_investigation_coordination,Complaint investigation coordination,Support & CX,P2,manual_or_event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,M,high,required_against_authoritative_manifest
139,support_cx.refund_request_triage,Refund request triage,Support & CX,P2,event,receive → classify → prioritize → resolve → escalate → confirm → learn,False,False,L,high,required_against_authoritative_manifest
140,hr_people.candidate_application_intake,Candidate application intake,HR & People,P0,event,request → validate → approve → provision → verify → record → notify,False,False,L,high,required_against_authoritative_manifest
141,hr_people.resume_parsing_and_normalization,Resume parsing and normalization,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
142,hr_people.candidate_duplicate_detection,Candidate duplicate detection,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
143,hr_people.candidate_screening,Candidate screening,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,S,high,required_against_authoritative_manifest
144,hr_people.interview_scheduling,Interview scheduling,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
145,hr_people.interview_reminder,Interview reminder,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,L,high,required_against_authoritative_manifest
146,hr_people.interview_transcription_and_summary,Interview transcription and summary,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,True,False,S,high,required_against_authoritative_manifest
147,hr_people.candidate_scorecard_consolidation,Candidate scorecard consolidation,HR & People,P0,manual_or_event,request → validate → approve → provision → verify → record → notify,True,False,M,high,required_against_authoritative_manifest
148,hr_people.offer_preparation,Offer preparation,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
149,hr_people.offer_approval,Offer approval,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,True,S,high,required_against_authoritative_manifest
150,hr_people.offer_delivery_and_acceptance,Offer delivery and acceptance,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,L,high,required_against_authoritative_manifest
151,hr_people.preboarding_document_collection,Preboarding document collection,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
152,hr_people.employee_onboarding_plan,Employee onboarding plan,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,S,high,required_against_authoritative_manifest
153,hr_people.account_and_access_provisioning,Account and access provisioning,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
154,hr_people.mandatory_training_assignment,Mandatory training assignment,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
155,hr_people.probation_milestone_tracking,Probation milestone tracking,HR & People,P1,schedule,request → validate → approve → provision → verify → record → notify,False,False,L,high,required_against_authoritative_manifest
156,hr_people.employee_pulse_survey,Employee pulse survey,HR & People,P1,manual_or_event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
157,hr_people.leave_request_processing,Leave request processing,HR & People,P1,event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
158,hr_people.business_trip_request_processing,Business trip request processing,HR & People,P2,event,request → validate → approve → provision → verify → record → notify,False,False,S,high,required_against_authoritative_manifest
159,hr_people.employee_document_request,Employee document request,HR & People,P2,event,request → validate → approve → provision → verify → record → notify,False,False,M,high,required_against_authoritative_manifest
160,marketing_content.campaign_brief_intake,Campaign brief intake,Marketing & Content,P0,event,brief → research → generate → review → approve → publish → measure,False,False,L,high,required_against_authoritative_manifest
161,marketing_content.audience_research,Audience research,Marketing & Content,P0,manual_or_event,brief → research → generate → review → approve → publish → measure,True,False,M,high,required_against_authoritative_manifest
162,marketing_content.competitor_content_monitoring,Competitor content monitoring,Marketing & Content,P0,schedule,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
163,marketing_content.keyword_cluster_research,Keyword cluster research,Marketing & Content,P0,manual_or_event,brief → research → generate → review → approve → publish → measure,True,False,S,high,required_against_authoritative_manifest
164,marketing_content.editorial_calendar_planning,Editorial calendar planning,Marketing & Content,P0,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
165,marketing_content.content_idea_backlog,Content idea backlog,Marketing & Content,P0,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,L,high,required_against_authoritative_manifest
166,marketing_content.long_form_article_drafting,Long-form article drafting,Marketing & Content,P0,manual_or_event,brief → research → generate → review → approve → publish → measure,True,False,S,high,required_against_authoritative_manifest
167,marketing_content.seo_content_optimization,SEO content optimization,Marketing & Content,P0,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
168,marketing_content.brand_compliance_review,Brand compliance review,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,True,M,high,required_against_authoritative_manifest
169,marketing_content.legal_review_of_campaign_content,Legal review of campaign content,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,True,S,high,required_against_authoritative_manifest
170,marketing_content.human_approval_before_publication,Human approval before publication,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,True,L,high,required_against_authoritative_manifest
171,marketing_content.multi_channel_content_adaptation,Multi-channel content adaptation,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
172,marketing_content.social_post_scheduling,Social post scheduling,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,S,high,required_against_authoritative_manifest
173,marketing_content.image_creative_generation,Image creative generation,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
174,marketing_content.video_script_generation,Video script generation,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
175,marketing_content.email_newsletter_assembly,Email newsletter assembly,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,L,high,required_against_authoritative_manifest
176,marketing_content.email_subject_line_testing,Email subject-line testing,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
177,marketing_content.campaign_launch_checklist,Campaign launch checklist,Marketing & Content,P1,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
178,marketing_content.utm_governance,UTM governance,Marketing & Content,P2,manual_or_event,brief → research → generate → review → approve → publish → measure,False,False,S,high,required_against_authoritative_manifest
179,marketing_content.paid_ad_anomaly_monitoring,Paid ad anomaly monitoring,Marketing & Content,P2,schedule,brief → research → generate → review → approve → publish → measure,False,False,M,high,required_against_authoritative_manifest
180,ecommerce_inventory.order_intake_and_validation,Order intake and validation,E-commerce & Inventory,P0,event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,L,high,required_against_authoritative_manifest
181,ecommerce_inventory.payment_confirmation_handling,Payment confirmation handling,E-commerce & Inventory,P0,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
182,ecommerce_inventory.fraud_risk_review_handoff,Fraud-risk review handoff,E-commerce & Inventory,P0,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,True,True,M,high,required_against_authoritative_manifest
183,ecommerce_inventory.inventory_availability_check,Inventory availability check,E-commerce & Inventory,P0,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,S,high,required_against_authoritative_manifest
184,ecommerce_inventory.order_allocation_across_warehouses,Order allocation across warehouses,E-commerce & Inventory,P0,event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
185,ecommerce_inventory.backorder_management,Backorder management,E-commerce & Inventory,P0,event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,L,high,required_against_authoritative_manifest
186,ecommerce_inventory.picking_task_creation,Picking task creation,E-commerce & Inventory,P0,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,S,high,required_against_authoritative_manifest
187,ecommerce_inventory.packing_completion_update,Packing completion update,E-commerce & Inventory,P0,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
188,ecommerce_inventory.shipment_label_creation,Shipment label creation,E-commerce & Inventory,P1,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
189,ecommerce_inventory.shipment_tracking_notification,Shipment tracking notification,E-commerce & Inventory,P1,schedule,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,S,high,required_against_authoritative_manifest
190,ecommerce_inventory.delivery_exception_escalation,Delivery exception escalation,E-commerce & Inventory,P1,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,True,L,high,required_against_authoritative_manifest
191,ecommerce_inventory.order_cancellation_processing,Order cancellation processing,E-commerce & Inventory,P1,event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
192,ecommerce_inventory.return_request_intake,Return request intake,E-commerce & Inventory,P1,event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,S,high,required_against_authoritative_manifest
193,ecommerce_inventory.return_eligibility_validation,Return eligibility validation,E-commerce & Inventory,P1,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
194,ecommerce_inventory.return_logistics_coordination,Return logistics coordination,E-commerce & Inventory,P1,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
195,ecommerce_inventory.refund_after_return_validation,Refund after return validation,E-commerce & Inventory,P1,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,L,high,required_against_authoritative_manifest
196,ecommerce_inventory.abandoned_cart_recovery,Abandoned cart recovery,E-commerce & Inventory,P1,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
197,ecommerce_inventory.low_stock_alert,Low-stock alert,E-commerce & Inventory,P1,event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
198,ecommerce_inventory.reorder_point_monitoring,Reorder point monitoring,E-commerce & Inventory,P2,schedule,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,S,high,required_against_authoritative_manifest
199,ecommerce_inventory.purchase_replenishment_proposal,Purchase replenishment proposal,E-commerce & Inventory,P2,manual_or_event,event → validate → reserve → fulfill → notify → reconcile → analyze,False,False,M,high,required_against_authoritative_manifest
200,operations_documents.incoming_document_registration,Incoming document registration,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,L,high,required_against_authoritative_manifest
201,operations_documents.document_classification,Document classification,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,True,False,M,high,required_against_authoritative_manifest
202,operations_documents.document_metadata_extraction,Document metadata extraction,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,True,False,M,high,required_against_authoritative_manifest
203,operations_documents.document_version_control,Document version control,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,S,high,required_against_authoritative_manifest
204,operations_documents.document_review_routing,Document review routing,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,False,True,M,high,required_against_authoritative_manifest
205,operations_documents.multi_level_document_approval,Multi-level document approval,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,False,True,L,high,required_against_authoritative_manifest
206,operations_documents.electronic_signature_coordination,Electronic signature coordination,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,False,True,S,high,required_against_authoritative_manifest
207,operations_documents.document_publication,Document publication,Operations & Documents,P0,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,M,high,required_against_authoritative_manifest
208,operations_documents.document_retention_scheduling,Document retention scheduling,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,M,high,required_against_authoritative_manifest
209,operations_documents.document_archival,Document archival,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,S,high,required_against_authoritative_manifest
210,operations_documents.contract_request_intake,Contract request intake,Operations & Documents,P1,event,receive → classify → review → approve → sign → store → retain,False,False,L,high,required_against_authoritative_manifest
211,operations_documents.contract_template_selection,Contract template selection,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,M,high,required_against_authoritative_manifest
212,operations_documents.contract_clause_extraction,Contract clause extraction,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,True,False,S,high,required_against_authoritative_manifest
213,operations_documents.contract_risk_review,Contract risk review,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,True,True,M,high,required_against_authoritative_manifest
214,operations_documents.contract_negotiation_task_tracking,Contract negotiation task tracking,Operations & Documents,P1,schedule,receive → classify → review → approve → sign → store → retain,False,False,M,high,required_against_authoritative_manifest
215,operations_documents.contract_approval,Contract approval,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,False,True,L,high,required_against_authoritative_manifest
216,operations_documents.contract_signature_and_storage,Contract signature and storage,Operations & Documents,P1,manual_or_event,receive → classify → review → approve → sign → store → retain,False,True,M,high,required_against_authoritative_manifest
217,operations_documents.contract_obligation_monitoring,Contract obligation monitoring,Operations & Documents,P1,schedule,receive → classify → review → approve → sign → store → retain,False,False,M,high,required_against_authoritative_manifest
218,operations_documents.contract_renewal_notice,Contract renewal notice,Operations & Documents,P2,schedule,receive → classify → review → approve → sign → store → retain,False,False,S,high,required_against_authoritative_manifest
219,operations_documents.meeting_agenda_preparation,Meeting agenda preparation,Operations & Documents,P2,manual_or_event,receive → classify → review → approve → sign → store → retain,False,False,M,high,required_against_authoritative_manifest
220,it_devops_security.it_service_request_intake,IT service request intake,"IT, DevOps & Security",P0,event,detect/request → enrich → assess → approve → execute → verify → audit,False,False,L,high,required_against_authoritative_manifest
221,it_devops_security.access_request_approval,Access request approval,"IT, DevOps & Security",P0,event,detect/request → enrich → assess → approve → execute → verify → audit,False,True,M,high,required_against_authoritative_manifest
222,it_devops_security.privileged_access_approval,Privileged access approval,"IT, DevOps & Security",P0,manual_or_event,detect/request → enrich → assess → approve → execute → verify → audit,False,True,M,high,required_against_authoritative_manifest
223,it_devops_security.user_account_provisioning,User account provisioning,"IT, DevOps & Security",P0,manual_or_event,detect/request → enrich → assess → approve → execute → verify → audit,False,False,S,high,required_against_authoritative_manifest
224,it_devops_security.user_access_recertification,User access recertification,"IT, DevOps & Security",P0,manual_or_event,detect/request → enrich → assess → approve → execute → verify → audit,False,False,M,high,required_against_authoritative_manifest
225,it_devops_security.password_reset_orchestration,Password reset orchestration,"IT, DevOps & Security",P0,manual_or_event,detect/request → enrich → assess → approve → execute → verify → audit,False,False,L,high,required_against_authoritative_manifest
226,it_devops_security.software_license_request,Software license request,"IT, DevOps & Security",P0,event,detect/request → enrich → assess → approve → execute → verify → audit,False,False,S,high,required_against_authoritative_manifest
227,it_devops_security.device_provisioning,Device provisioning,"IT, DevOps & Security",P0,manual_or_event,detect/request → enrich → assess → approve → execute → verify → audit,False,False,M,high,required_against_authoritative_manifest
